Model: phi-2
Location & Value of Massive Activations
==================================================
Layer-2: 728.0
Layer-3: 860.0
Layer-4: 924.0
Layer-5: 980.0
Layer-6: 1008.0
Layer-7: 1032.0
Layer-8: 1040.0
Layer-9: 1048.0
Layer-10: 1048.0
Layer-11: 1048.0
Layer-12: 1048.0
Layer-13: 1048.0
Layer-14: 1048.0
Layer-15: 1048.0
Layer-16: 1048.0
Layer-17: 1048.0
Layer-18: 1048.0
Layer-19: 1048.0
Layer-20: 1048.0
Layer-21: 1048.0
Layer-22: 1048.0
