Model: phi-4
Location & Value of Massive Activations
==================================================
Layer-1: 344.0
Layer-2: 604.0
Layer-3: 724.0
Layer-4: 780.0
Layer-5: 784.0
Layer-6: 804.0
Layer-7: 812.0
Layer-8: 812.0
Layer-9: 812.0
Layer-10: 812.0
Layer-11: 812.0
Layer-12: 812.0
Layer-13: 812.0
Layer-14: 812.0
Layer-15: 812.0
Layer-16: 812.0
Layer-17: 812.0
Layer-18: 812.0
Layer-19: 812.0
Layer-20: 812.0
Layer-21: 812.0
Layer-22: 812.0
