Model: gemma-3-12b-pt
Location & Value of Massive Activations
==================================================
Layer-0: 11008.0
Layer-1: 11840.0
Layer-2: 37888.0
Layer-3: 39680.0
Layer-4: 47616.0
Layer-5: 54272.0
Layer-6: 80896.0
Layer-7: 89088.0
Layer-8: 122368.0
Layer-9: 153600.0
Layer-10: 171008.0
Layer-11: 217088.0
Layer-12: 282624.0
Layer-13: 315392.0
Layer-14: 342016.0
Layer-15: 382976.0
Layer-16: 438272.0
Layer-17: 462848.0
Layer-18: 489472.0
Layer-19: 524288.0
Layer-20: 557056.0
Layer-21: 577536.0
Layer-22: 606208.0
Layer-23: 622592.0
Layer-24: 638976.0
Layer-25: 655360.0
Layer-26: 663552.0
Layer-27: 667648.0
Layer-28: 684032.0
Layer-29: 692224.0
Layer-30: 700416.0
Layer-31: 700416.0
Layer-32: 704512.0
Layer-33: 708608.0
Layer-34: 712704.0
Layer-35: 720896.0
Layer-36: 724992.0
Layer-37: 724992.0
Layer-38: 724992.0
Layer-39: 729088.0
Layer-40: 737280.0
Layer-41: 741376.0
Layer-42: 741376.0
Layer-43: 757760.0
Layer-44: 778240.0
Layer-45: 774144.0
Layer-46: 729088.0
Layer-47: 651264.0
