Model: falcon-11B
Location & Value of Massive Activations
==================================================
Layer-2: 400.0
Layer-3: 4416.0
Layer-4: 4416.0
Layer-5: 4416.0
Layer-6: 4416.0
Layer-7: 4416.0
Layer-8: 4416.0
Layer-9: 4416.0
Layer-10: 4416.0
Layer-11: 4416.0
Layer-12: 4416.0
Layer-13: 4416.0
Layer-14: 4416.0
Layer-15: 4416.0
Layer-16: 4480.0
Layer-17: 4480.0
Layer-18: 4480.0
Layer-19: 4480.0
Layer-20: 4480.0
Layer-21: 4480.0
Layer-22: 4480.0
Layer-23: 4480.0
Layer-24: 4480.0
Layer-25: 4512.0
Layer-26: 4512.0
Layer-27: 4512.0
Layer-28: 4512.0
Layer-29: 4512.0
Layer-30: 4512.0
Layer-31: 4512.0
Layer-32: 4512.0
Layer-33: 4512.0
Layer-34: 4512.0
Layer-35: 4512.0
Layer-36: 4512.0
Layer-37: 4512.0
Layer-38: 4512.0
Layer-39: 4512.0
Layer-40: 4512.0
Layer-41: 4512.0
Layer-42: 4512.0
Layer-43: 4512.0
Layer-44: 4512.0
Layer-45: 4512.0
Layer-46: 4512.0
Layer-47: 4512.0
Layer-48: 4512.0
Layer-49: 4512.0
Layer-50: 4512.0
Layer-51: 4512.0
Layer-52: 4480.0
Layer-53: 4448.0
