Model: gemma-3-12b-pt
Location & Value of Massive Activations
==================================================
Layer-0: 8320.0
Layer-1: 8960.0
Layer-2: 27392.0
Layer-3: 27392.0
Layer-4: 29184.0
Layer-5: 30208.0
Layer-6: 49152.0
Layer-7: 50944.0
Layer-8: 64768.0
Layer-9: 88064.0
Layer-10: 93696.0
Layer-11: 121344.0
Layer-12: 162816.0
Layer-13: 173056.0
Layer-14: 184320.0
Layer-15: 200704.0
Layer-16: 216064.0
Layer-17: 218112.0
Layer-18: 235520.0
Layer-19: 261120.0
Layer-20: 290816.0
Layer-21: 315392.0
Layer-22: 331776.0
Layer-23: 344064.0
Layer-24: 354304.0
Layer-25: 360448.0
Layer-26: 368640.0
Layer-27: 385024.0
Layer-28: 403456.0
Layer-29: 411648.0
Layer-30: 421888.0
Layer-31: 428032.0
Layer-32: 434176.0
Layer-33: 438272.0
Layer-34: 446464.0
Layer-35: 454656.0
Layer-36: 458752.0
Layer-37: 460800.0
Layer-38: 462848.0
Layer-39: 464896.0
Layer-40: 471040.0
Layer-41: 471040.0
Layer-42: 454656.0
Layer-43: 411648.0
Layer-44: 358400.0
Layer-45: 292864.0
Layer-47: 348160.0
